Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19910514  ,-0.05  ,-0.17  ,-0.18  ,-0.20  ,-0.05  ,-0.35
19910515  ,-0.85  ,-0.55  ,-0.58  ,-0.50  ,-0.31  ,-0.41
19910516  ,-0.11   ,0.13   ,0.13   ,0.30   ,0.21   ,0.18
19910517  ,-0.88  ,-0.87  ,-0.82  ,-0.60  ,-0.68  ,-0.78
19910520  ,-0.19  ,-0.09  ,-0.12   ,0.00  ,-0.11  ,-0.10
19910521   ,0.56   ,0.61   ,0.45   ,0.83   ,0.78   ,0.69
19910522  ,-0.19  ,-0.13  ,-0.20  ,-0.23  ,-0.25  ,-0.17
19910523   ,0.47   ,0.26   ,0.12   ,0.36   ,0.40   ,0.43
19910524   ,0.07   ,0.13   ,0.13   ,0.01  ,-0.02   ,0.18
19910527  ,-0.10   ,0.06  ,-0.11  ,-0.14   ,0.02  ,-0.06
19910528   ,0.46   ,0.44   ,0.34   ,0.57   ,0.45   ,0.61
19910529   ,0.06  ,-0.02   ,0.11  ,-0.16   ,0.04   ,0.23
19910530   ,0.33   ,0.33   ,0.35   ,0.66   ,0.69   ,0.40
19910531  ,-0.15   ,0.14   ,0.23   ,0.14   ,0.44   ,0.48
19910603  ,-0.08   ,0.18   ,0.20  ,-0.54  ,-0.03   ,0.01
19910604   ,0.14   ,0.13   ,0.02  ,-0.30  ,-0.23  ,-0.10
19910605  ,-0.45  ,-0.24  ,-0.15  ,-0.57  ,-0.69  ,-0.52
19910606  ,-0.50  ,-0.19  ,-0.25  ,-0.58  ,-0.31  ,-0.36
19910607  ,-0.66  ,-0.71  ,-0.54  ,-0.99  ,-1.01  ,-1.04
19910610  ,-0.58  ,-0.25  ,-0.13  ,-1.08  ,-0.99  ,-0.83
19910611  ,-0.05  ,-0.01  ,-0.24   ,0.58   ,0.49   ,0.58
19910612  ,-0.95  ,-1.00  ,-0.93  ,-0.92  ,-1.06  ,-1.04
19910613   ,0.15  ,-0.14  ,-0.01   ,0.38   ,0.22   ,0.39
19910614   ,0.85   ,0.52   ,0.49   ,0.98   ,0.94   ,0.81
19910617  ,-0.16  ,-0.10   ,0.01  ,-0.61  ,-0.44  ,-0.40
19910618  ,-0.56  ,-0.64  ,-0.45  ,-0.68  ,-0.72  ,-0.64
19910619  ,-0.45  ,-0.35  ,-0.43  ,-1.18  ,-0.86  ,-0.66
19910620   ,0.01  ,-0.12  ,-0.07   ,0.46   ,0.38   ,0.20
19910621   ,0.01   ,0.03  ,-0.10   ,0.58   ,0.29   ,0.31
19910624  ,-0.80  ,-0.54  ,-0.58  ,-1.32  ,-1.14  ,-0.98
19910625  ,-0.79  ,-0.71  ,-0.63   ,0.10  ,-0.14  ,-0.13
19910626   ,0.34   ,0.04   ,0.09   ,0.07   ,0.21  ,-0.01
19910627  ,-0.03  ,-0.12  ,-0.13   ,0.19  ,-0.22  ,-0.08
19910628  ,-0.69  ,-0.37  ,-0.12  ,-0.92  ,-0.90  ,-0.93
19910701   ,0.61   ,0.25   ,0.27   ,1.76   ,1.39   ,1.36
19910702  ,-0.27  ,-0.37  ,-0.23  ,-0.28  ,-0.33  ,-0.27
19910703  ,-0.97  ,-0.88  ,-0.80  ,-1.50  ,-1.57  ,-1.64
19910704  ,-0.42  ,-0.46  ,-0.30  ,-0.34  ,-0.45  ,-0.10
19910705   ,0.06   ,0.27   ,0.15   ,0.22   ,0.38   ,0.33
19910708  ,-0.23  ,-0.38  ,-0.30  ,-0.77  ,-0.67  ,-1.02
19910709  ,-0.15  ,-0.19  ,-0.23   ,0.30   ,0.38   ,1.01
19910710   ,0.91   ,0.75   ,0.58   ,1.24   ,0.93   ,1.23
19910711  ,-0.11  ,-0.11  ,-0.13  ,-0.18  ,-0.03  ,-0.22
19910712   ,1.81   ,1.47   ,1.19   ,1.45   ,1.41   ,1.46
19910715   ,0.75   ,0.61   ,0.65   ,1.02   ,0.83   ,0.83
19910716  ,-0.25  ,-0.03  ,-0.05  ,-0.38  ,-0.37  ,-0.39
19910717   ,0.10   ,0.11   ,0.04  ,-0.34  ,-0.09  ,-0.22
19910718   ,0.36   ,0.35   ,0.36   ,0.35   ,0.38   ,0.35
19910719   ,0.60   ,0.59   ,0.70   ,0.24   ,0.38   ,0.56
19910722  ,-0.65  ,-0.55  ,-0.30  ,-0.66  ,-0.48  ,-0.72
19910723  ,-0.25  ,-0.24  ,-0.17  ,-0.23   ,0.01   ,0.13
19910724   ,0.31   ,0.46   ,0.31   ,0.56   ,0.62   ,0.38
19910725  ,-0.59  ,-0.70  ,-0.41  ,-0.41  ,-0.40  ,-0.56
19910726   ,0.61   ,0.63   ,0.51   ,0.82   ,0.70   ,0.94
19910729  ,-0.43  ,-0.29  ,-0.35  ,-0.10  ,-0.09  ,-0.41
19910730   ,0.50   ,0.35   ,0.28   ,1.01   ,0.69   ,0.67
19910731   ,0.70   ,0.69   ,0.42   ,0.71   ,0.43   ,0.45
19910801  ,-0.33  ,-0.19  ,-0.27  ,-0.16  ,-0.33  ,-0.41
19910802   ,0.80   ,0.67   ,0.48   ,0.42   ,0.53   ,0.64
19910805   ,0.14   ,0.26   ,0.14  ,-0.30  ,-0.20  ,-0.27
19910806   ,0.19  ,-0.03   ,0.21   ,0.49   ,0.20   ,0.11
19910807   ,0.06   ,0.08   ,0.16   ,0.41   ,0.47   ,0.19
19910808  ,-0.33  ,-0.38  ,-0.36  ,-0.43  ,-0.55  ,-0.56
19910809  ,-0.46  ,-0.51  ,-0.30  ,-0.68  ,-0.69  ,-0.84
19910812  ,-0.32  ,-0.24  ,-0.19  ,-0.42  ,-0.35  ,-0.32
19910813  ,-0.30  ,-0.24  ,-0.01   ,0.05  ,-0.10   ,0.12
19910814   ,0.07   ,0.10   ,0.10   ,0.70   ,0.51   ,0.51
19910815  ,-0.09  ,-0.10  ,-0.14  ,-0.45  ,-0.22  ,-0.50
19910816  ,-0.83  ,-0.80  ,-0.72  ,-0.90  ,-1.12  ,-1.37
19910819  ,-4.34  ,-4.29  ,-4.12  ,-4.62  ,-4.73  ,-5.90
19910820   ,0.58   ,0.72   ,0.68   ,1.49   ,1.50   ,1.82
19910821   ,2.62   ,2.68   ,2.42   ,3.36   ,2.96   ,3.24
19910822   ,1.63   ,1.57   ,1.55   ,1.11   ,1.36   ,1.82
19910823  ,-0.53  ,-0.45  ,-0.27  ,-0.78  ,-0.57  ,-0.69
19910826  ,-0.03  ,-0.01  ,-0.04  ,-0.50  ,-0.36  ,-0.35
19910827  ,-0.05  ,-0.15  ,-0.13  ,-0.04  ,-0.20  ,-0.19
19910828   ,0.43   ,0.25   ,0.22   ,0.49   ,0.19   ,0.38
19910829   ,0.12   ,0.08   ,0.15   ,0.52   ,0.43   ,0.35
19910830   ,0.29   ,0.43   ,0.23   ,0.36   ,0.60   ,0.56
19910902   ,0.22   ,0.35   ,0.23   ,0.42   ,0.55   ,0.59
19910903   ,0.28   ,0.33   ,0.13  ,-0.30   ,0.01   ,0.00
19910904  ,-0.09   ,0.09  ,-0.15  ,-0.35  ,-0.11  ,-0.12
19910905   ,0.04   ,0.06   ,0.11  ,-0.18   ,0.10  ,-0.10
19910906   ,0.59   ,0.75   ,0.56   ,0.38   ,0.36   ,0.45
19910909   ,0.84   ,0.79   ,0.68   ,0.46   ,0.36   ,0.52
19910910  ,-0.58  ,-0.46  ,-0.50  ,-0.81  ,-0.65  ,-0.59
19910911   ,0.03  ,-0.10  ,-0.04   ,0.04   ,0.01  ,-0.04
19910912   ,0.70   ,0.49   ,0.33   ,0.84   ,0.62   ,0.52
19910913   ,0.20   ,0.34   ,0.10   ,0.21   ,0.30   ,0.65
19910916   ,0.16   ,0.19   ,0.23   ,0.33   ,0.41   ,0.21
19910917   ,0.40   ,0.40   ,0.21   ,0.46   ,0.32   ,0.47
19910918  ,-0.20  ,-0.24  ,-0.12  ,-0.29  ,-0.43  ,-0.31
19910919  ,-0.03  ,-0.09  ,-0.07  ,-0.14  ,-0.25  ,-0.28
19910920   ,0.16   ,0.09   ,0.26   ,0.02   ,0.14  ,-0.02
